name,score
FTR51_len_sum,572
FTR33_sum,250
FTR51_len_mean,238
FTR43_sum,196
FTR16_kurt,186
week_mean,184
FTR41_sum,165
FTR34_skew_x,161
"FTR33__fft_coefficient__coeff_4__attr_""imag""",156
FTR51_len_kurt,154
FTR14_sum,153
FTR43_max_y,145
FTR33__spkt_welch_density__coeff_2,142
FTR9_sum,141
day_mean,141
FTR33__ar_coefficient__k_10__coeff_3,133
FTR51_len_std,126
FTR33__quantile__q_0.6,122
FTR32_kurt2_x,122
"FTR33__fft_coefficient__coeff_3__attr_""imag""",121
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",121
FTR33__spkt_welch_density__coeff_5,120
"FTR33__fft_coefficient__coeff_3__attr_""angle""",119
"FTR33__fft_coefficient__coeff_0__attr_""abs""",116
"FTR33__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""stderr""",116
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",116
FTR36_sum,116
FTR5_skew,115
FTR33__last_location_of_maximum,115
year_2016,115
FTR33__partial_autocorrelation__lag_4,113
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_13__w_2",113
FTR32_skew_x,112
FTR36_std,112
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",111
FTR33__ratio_beyond_r_sigma__r_0.5,111
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_5",110
FTR43_skew,109
"FTR33__fft_coefficient__coeff_2__attr_""angle""",107
FTR34_mean_x,107
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",107
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",106
FTR33_max,106
FTR14_mean_x,106
FTR35_kurt2_y,106
day_std,105
FTR48_std,104
FTR33__autocorrelation__lag_5,101
FTR33__autocorrelation__lag_4,101
FTR23_kurt2_x,101
"FTR33__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",101
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",100
"FTR33__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",100
FTR33__energy_ratio_by_chunks__num_segments_10__segment_focus_8,99
FTR9_skew_x,99
FTR42_std,97
"FTR33__fft_coefficient__coeff_5__attr_""angle""",97
FTR33__partial_autocorrelation__lag_5,96
FTR5_kurt2_y,96
FTR33__ar_coefficient__k_10__coeff_1,96
FTR43_std,95
FTR33__quantile__q_0.9,94
FTR5_kurt2_x,94
FTR43_kurt,94
FTR44_mean_x,94
FTR33__energy_ratio_by_chunks__num_segments_10__segment_focus_7,94
"FTR33__fft_coefficient__coeff_7__attr_""angle""",93
FTR34_skew,93
FTR33_std,93
FTR18_kurt2_x,92
"FTR33__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""slope""",91
"FTR33__agg_linear_trend__f_agg_""max""__chunk_len_50__attr_""intercept""",91
FTR9_skew_y,91
FTR30_kurt2_x,91
FTR33__approximate_entropy__m_2__r_0.1,91
