dataset,clas_model,metrics,result
mc2,A_C_NB,precision,0.5199761904761906
mc2,A_C_NB,recall,0.6835
mc2,A_C_NB,pf,0.3986111111111111
mc2,A_C_NB,bal,0.6092528345711398
mc2,A_C_NB,gmean2,0.6201295215351866
mc2,A_C_NB,auc,0.6973020833333332
jm1,A_C_NB,precision,0.32670894085027763
jm1,A_C_NB,recall,0.5760372112917023
jm1,A_C_NB,pf,0.35486088379705405
jm1,A_C_NB,bal,0.5822341476841221
jm1,A_C_NB,gmean2,0.5862581024538679
jm1,A_C_NB,auc,0.6597176561070051
kc3,A_C_NB,precision,0.3097415917415917
kc3,A_C_NB,recall,0.7058333333333333
kc3,A_C_NB,pf,0.3740833333333334
kc3,A_C_NB,bal,0.6334010745721281
kc3,A_C_NB,gmean2,0.6481834843287619
kc3,A_C_NB,auc,0.7578819444444445
cm1,A_C_NB,precision,0.2066069886425923
cm1,A_C_NB,recall,0.8075
cm1,A_C_NB,pf,0.49061576354679803
cm1,A_C_NB,bal,0.586788878181313
cm1,A_C_NB,gmean2,0.6154782612997317
cm1,A_C_NB,auc,0.7389060960591134
pc3,A_C_NB,precision,0.2301481210479042
pc3,A_C_NB,recall,0.7151098901098901
pc3,A_C_NB,pf,0.33784994400895857
pc3,A_C_NB,bal,0.6666626926281622
pc3,A_C_NB,gmean2,0.6771621302699667
pc3,A_C_NB,auc,0.7341906894896816
pc4,A_C_NB,precision,0.2868298885186307
pc4,A_C_NB,recall,0.8505555555555554
pc4,A_C_NB,pf,0.298359375
pc4,A_C_NB,bal,0.7531297293394451
pc4,A_C_NB,gmean2,0.7695190467540017
pc4,A_C_NB,auc,0.8634994127859477
mw1,A_C_NB,precision,0.15571757409257408
mw1,A_C_NB,recall,0.6366666666666666
mw1,A_C_NB,pf,0.40527667984189725
mw1,A_C_NB,bal,0.5732431491483624
mw1,A_C_NB,gmean2,0.5713651760729881
mw1,A_C_NB,auc,0.726052371541502
pc1,A_C_NB,precision,0.16134370190355654
pc1,A_C_NB,recall,0.9295238095238096
pc1,A_C_NB,pf,0.4874759615384615
pc1,A_C_NB,bal,0.6413045843242975
pc1,A_C_NB,gmean2,0.6829377637436866
pc1,A_C_NB,auc,0.8036012763278388
pc5,A_C_NB,precision,0.2547290682385557
pc5,A_C_NB,recall,0.7117835595776772
pc5,A_C_NB,pf,0.06688062387522495
pc5,A_C_NB,bal,0.788737611144201
pc5,A_C_NB,gmean2,0.8125051266257833
pc5,A_C_NB,auc,0.9437555350920764
mc1,A_C_NB,precision,0.048085440054243964
mc1,A_C_NB,recall,0.7639999999999999
mc1,A_C_NB,pf,0.37032117367168915
mc1,A_C_NB,bal,0.6676152366608962
mc1,A_C_NB,gmean2,0.6833061073789309
mc1,A_C_NB,auc,0.784628039915411
pc2,A_C_NB,precision,0.05417622359236885
pc2,A_C_NB,recall,0.775
pc2,A_C_NB,pf,0.33452625570776257
pc2,A_C_NB,bal,0.6475668528519256
pc2,A_C_NB,gmean2,0.6468610282455596
pc2,A_C_NB,auc,0.8373297184170473
