dataset,clas_model,metrics,result
mc2,A_C_RF,precision,0.46016414141414147
mc2,A_C_RF,recall,0.6845
mc2,A_C_RF,pf,0.45
mc2,A_C_RF,bal,0.5814813975417583
mc2,A_C_RF,gmean2,0.5903791087546473
mc2,A_C_RF,auc,0.6533194444444445
jm1,A_C_RF,precision,0.2356764349835937
jm1,A_C_RF,recall,0.5160051325919589
jm1,A_C_RF,pf,0.45996726677577743
jm1,A_C_RF,bal,0.5188334177971318
jm1,A_C_RF,gmean2,0.5192819366863369
jm1,A_C_RF,auc,0.540205771820866
kc3,A_C_RF,precision,0.27030952380952383
kc3,A_C_RF,recall,0.37
kc3,A_C_RF,pf,0.2145
kc3,A_C_RF,bal,0.5161563330482234
kc3,A_C_RF,gmean2,0.4646134098995176
kc3,A_C_RF,auc,0.6525416666666668
cm1,A_C_RF,precision,0.23219700968965676
cm1,A_C_RF,recall,0.447
cm1,A_C_RF,pf,0.2382019704433497
cm1,A_C_RF,bal,0.5564713655430545
cm1,A_C_RF,gmean2,0.5375634430590384
cm1,A_C_RF,auc,0.6849251847290639
pc3,A_C_RF,precision,0.22855862437732122
pc3,A_C_RF,recall,0.3375274725274725
pc3,A_C_RF,pf,0.1678521836506159
pc3,A_C_RF,bal,0.5127721340752857
pc3,A_C_RF,gmean2,0.5066857141389255
pc3,A_C_RF,auc,0.7079422092465205
pc4,A_C_RF,precision,0.5474192150567996
pc4,A_C_RF,recall,0.43333333333333335
pc4,A_C_RF,pf,0.058359375
pc4,A_C_RF,bal,0.5930555105084199
pc4,A_C_RF,gmean2,0.6171752176336207
pc4,A_C_RF,auc,0.875343647875817
mw1,A_C_RF,precision,0.15257267732267732
mw1,A_C_RF,recall,0.545
mw1,A_C_RF,pf,0.35256916996047427
mw1,A_C_RF,bal,0.5536509797260412
mw1,A_C_RF,gmean2,0.5312665774786135
mw1,A_C_RF,auc,0.6159189723320159
pc1,A_C_RF,precision,0.204738764734316
pc1,A_C_RF,recall,0.4535714285714286
pc1,A_C_RF,pf,0.17543269230769235
pc1,A_C_RF,bal,0.5817828112895793
pc1,A_C_RF,gmean2,0.5608886658513774
pc1,A_C_RF,auc,0.7362556375915752
pc5,A_C_RF,precision,0.11662623122312642
pc5,A_C_RF,recall,0.7588536953242836
pc5,A_C_RF,pf,0.19354529094181167
pc5,A_C_RF,bal,0.7697860389012616
pc5,A_C_RF,gmean2,0.777922545659203
pc5,A_C_RF,auc,0.8659041732377508
mc1,A_C_RF,precision,0.07844242880919984
mc1,A_C_RF,recall,0.2685
mc1,A_C_RF,pf,0.08393232883954532
mc1,A_C_RF,bal,0.4770553380721168
mc1,A_C_RF,gmean2,0.41756411135366817
mc1,A_C_RF,auc,0.6990483875231297
pc2,A_C_RF,precision,0.11562912087912088
pc2,A_C_RF,recall,0.34
pc2,A_C_RF,pf,0.059941019786910195
pc2,A_C_RF,bal,0.5208801732331789
pc2,A_C_RF,gmean2,0.36866950763558715
pc2,A_C_RF,auc,0.7911662861491628
