dataset,clas_model,metrics,result
mc2,R_C_NB,precision,0.506015873015873
mc2,R_C_NB,recall,0.6689999999999999
mc2,R_C_NB,pf,0.39041666666666663
mc2,R_C_NB,bal,0.6072460342956344
mc2,R_C_NB,gmean2,0.6181989960877191
mc2,R_C_NB,auc,0.6897222222222221
jm1,R_C_NB,precision,0.33716394738887856
jm1,R_C_NB,recall,0.556537995437696
jm1,R_C_NB,pf,0.3309983633387889
jm1,R_C_NB,bal,0.58237118085177
jm1,R_C_NB,gmean2,0.586375555444675
jm1,R_C_NB,auc,0.6599853860784394
kc3,R_C_NB,precision,0.32104828504828503
kc3,R_C_NB,recall,0.66
kc3,R_C_NB,pf,0.346875
kc3,R_C_NB,bal,0.6247422838486458
kc3,R_C_NB,gmean2,0.6386149527914992
kc3,R_C_NB,auc,0.7553836805555555
cm1,R_C_NB,precision,0.21624894786654444
cm1,R_C_NB,recall,0.794
cm1,R_C_NB,pf,0.4537931034482759
cm1,R_C_NB,bal,0.604553099242771
cm1,R_C_NB,gmean2,0.6304510759722712
cm1,R_C_NB,auc,0.743222290640394
pc3,R_C_NB,precision,0.23555572068111322
pc3,R_C_NB,recall,0.8656043956043955
pc3,R_C_NB,pf,0.40827771556550957
pc3,R_C_NB,bal,0.6869948462799704
pc3,R_C_NB,gmean2,0.7119548768916973
pc3,R_C_NB,auc,0.8017466436139449
pc4,R_C_NB,precision,0.2866592443116936
pc4,R_C_NB,recall,0.839934640522876
pc4,R_C_NB,pf,0.2975
pc4,R_C_NB,bal,0.7496036356826274
pc4,R_C_NB,gmean2,0.7646878737174901
pc4,R_C_NB,auc,0.8511029411764707
mw1,R_C_NB,precision,0.17132065157065157
mw1,R_C_NB,recall,0.6133333333333334
mw1,R_C_NB,pf,0.3673913043478261
mw1,R_C_NB,bal,0.596416926767126
mw1,R_C_NB,gmean2,0.6005516097024619
mw1,R_C_NB,auc,0.7177717391304347
pc1,R_C_NB,precision,0.16782066455726027
pc1,R_C_NB,recall,0.9054761904761907
pc1,R_C_NB,pf,0.4576514423076924
pc1,R_C_NB,bal,0.6522149788168388
pc1,R_C_NB,gmean2,0.6911839350418058
pc1,R_C_NB,auc,0.8011048248626375
pc5,R_C_NB,precision,0.2723781537762353
pc5,R_C_NB,recall,0.692975113122172
pc5,R_C_NB,pf,0.058854229154169165
pc5,R_C_NB,bal,0.7776554320729134
pc5,R_C_NB,gmean2,0.8050751834696882
pc5,R_C_NB,auc,0.9410279855793549
mc1,R_C_NB,precision,0.04947889299981072
mc1,R_C_NB,recall,0.7595000000000002
mc1,R_C_NB,pf,0.3603365054189796
mc1,R_C_NB,bal,0.6707491496283996
mc1,R_C_NB,gmean2,0.6888954264112032
mc1,R_C_NB,auc,0.7817137721385143
pc2,R_C_NB,precision,0.052730498446317824
pc2,R_C_NB,recall,0.765
pc2,R_C_NB,pf,0.31204908675799087
pc2,R_C_NB,bal,0.649289532080561
pc2,R_C_NB,gmean2,0.6502806180680768
pc2,R_C_NB,auc,0.8446936834094367
