dataset,clas_model,metrics,result
mc2,R_C_RF,precision,0.48711616161616156
mc2,R_C_RF,recall,0.6425
mc2,R_C_RF,pf,0.3977777777777778
mc2,R_C_RF,bal,0.5891209365787625
mc2,R_C_RF,gmean2,0.5925798573205799
mc2,R_C_RF,auc,0.6652743055555554
jm1,R_C_RF,precision,0.29362070576191557
jm1,R_C_RF,recall,0.3349743370402053
jm1,R_C_RF,pf,0.22914893617021273
jm1,R_C_RF,bal,0.4957945950735332
jm1,R_C_RF,gmean2,0.4947520816873331
jm1,R_C_RF,auc,0.5907317009072807
kc3,R_C_RF,precision,0.33290079365079367
kc3,R_C_RF,recall,0.3108333333333333
kc3,R_C_RF,pf,0.14825
kc3,R_C_RF,bal,0.4896090925788079
kc3,R_C_RF,gmean2,0.42679100946166737
kc3,R_C_RF,auc,0.6623784722222222
cm1,R_C_RF,precision,0.24193037518037516
cm1,R_C_RF,recall,0.3035
cm1,R_C_RF,pf,0.133435960591133
cm1,R_C_RF,bal,0.4920733620715534
cm1,R_C_RF,gmean2,0.41368663964696806
cm1,R_C_RF,auc,0.6761798029556649
pc3,R_C_RF,precision,0.254949270449193
pc3,R_C_RF,recall,0.2005494505494506
pc3,R_C_RF,pf,0.08670548712206047
pc3,R_C_RF,bal,0.42933041186066534
pc3,R_C_RF,gmean2,0.3826096021714185
pc3,R_C_RF,auc,0.7198074400403628
pc4,R_C_RF,precision,0.610274438754658
pc4,R_C_RF,recall,0.3093790849673202
pc4,R_C_RF,pf,0.03265625
pc4,R_C_RF,bal,0.5099347134076307
pc4,R_C_RF,gmean2,0.5199136756168449
pc4,R_C_RF,auc,0.8517105800653595
mw1,R_C_RF,precision,0.2287738095238095
mw1,R_C_RF,recall,0.335
mw1,R_C_RF,pf,0.13047430830039525
mw1,R_C_RF,bal,0.5098174011557145
mw1,R_C_RF,gmean2,0.43488628999824885
mw1,R_C_RF,auc,0.6659963768115942
pc1,R_C_RF,precision,0.24314464701964703
pc1,R_C_RF,recall,0.30952380952380953
pc1,R_C_RF,pf,0.10475961538461538
pc1,R_C_RF,bal,0.5021941007943401
pc1,R_C_RF,gmean2,0.4647269942049879
pc1,R_C_RF,auc,0.7387816792582417
pc5,R_C_RF,precision,0.34353977076368103
pc5,R_C_RF,recall,0.383525641025641
pc5,R_C_RF,pf,0.02753449310137972
pc5,R_C_RF,bal,0.5633456423625262
pc5,R_C_RF,gmean2,0.6062127817995979
pc5,R_C_RF,auc,0.8611514145134775
mc1,R_C_RF,precision,0.08646703296703295
mc1,R_C_RF,recall,0.0885
mc1,R_C_RF,pf,0.02219243986254295
mc1,R_C_RF,bal,0.35517608147108537
mc1,R_C_RF,gmean2,0.16882559497351898
mc1,R_C_RF,auc,0.6751816547713456
pc2,R_C_RF,precision,0.07166666666666666
pc2,R_C_RF,recall,0.065
pc2,R_C_RF,pf,0.012347792998477929
pc2,R_C_RF,bal,0.33871031273211016
pc2,R_C_RF,gmean2,0.08709863639807658
pc2,R_C_RF,auc,0.7137176560121767
