dataset,clas_model,metrics,result
mc2,S_C_NB,precision,0.511664502
mc2,S_C_NB,recall,0.6435
mc2,S_C_NB,pf,0.377222222
mc2,S_C_NB,bal,0.599977181
mc2,S_C_NB,gmean2,0.612152636
mc2,S_C_NB,auc,0.689586806
jm1,S_C_NB,precision,0.335731404
jm1,S_C_NB,recall,0.567834688
jm1,S_C_NB,pf,0.340556465
jm1,S_C_NB,bal,0.58545757
jm1,S_C_NB,gmean2,0.589639832
jm1,S_C_NB,auc,0.659423302
kc3,S_C_NB,precision,0.310635226
kc3,S_C_NB,recall,0.696666667
kc3,S_C_NB,pf,0.357333333
kc3,S_C_NB,bal,0.636523673
kc3,S_C_NB,gmean2,0.651356582
kc3,S_C_NB,auc,0.763939236
cm1,S_C_NB,precision,0.213053322
cm1,S_C_NB,recall,0.803
cm1,S_C_NB,pf,0.471896552
cm1,S_C_NB,bal,0.591174937
cm1,S_C_NB,gmean2,0.613870702
cm1,S_C_NB,auc,0.741774631
pc3,S_C_NB,precision,0.225731496
pc3,S_C_NB,recall,0.688186813
pc3,S_C_NB,pf,0.329389698
pc3,S_C_NB,bal,0.654754106
pc3,S_C_NB,gmean2,0.664667471
pc3,S_C_NB,auc,0.728055099
pc4,S_C_NB,precision,0.287329181
pc4,S_C_NB,recall,0.834052288
pc4,S_C_NB,pf,0.293203125
pc4,S_C_NB,bal,0.749528365
pc4,S_C_NB,gmean2,0.764334153
pc4,S_C_NB,auc,0.856685687
mw1,S_C_NB,precision,0.1784363
mw1,S_C_NB,recall,0.636666667
mw1,S_C_NB,pf,0.365197628
mw1,S_C_NB,bal,0.609236327
mw1,S_C_NB,gmean2,0.619853922
mw1,S_C_NB,auc,0.72571805
pc1,S_C_NB,precision,0.1609903
pc1,S_C_NB,recall,0.903095238
pc1,S_C_NB,pf,0.466394231
pc1,S_C_NB,bal,0.643945088
pc1,S_C_NB,gmean2,0.684263734
pc1,S_C_NB,auc,0.805936269
pc5,S_C_NB,precision,0.268078786
pc5,S_C_NB,recall,0.68908371
pc5,S_C_NB,pf,0.060341932
pc5,S_C_NB,bal,0.774292653
pc5,S_C_NB,gmean2,0.802158395
pc5,S_C_NB,auc,0.941546282
mc1,S_C_NB,precision,0.048772288
mc1,S_C_NB,recall,0.777
mc1,S_C_NB,pf,0.372868887
mc1,S_C_NB,bal,0.665363413
mc1,S_C_NB,gmean2,0.684006741
mc1,S_C_NB,auc,0.789722284
pc2,S_C_NB,precision,0.052420608
pc2,S_C_NB,recall,0.77
pc2,S_C_NB,pf,0.345344368
pc2,S_C_NB,bal,0.631216078
pc2,S_C_NB,gmean2,0.623986949
pc2,S_C_NB,auc,0.805853311
