dataset,class_model,metrics,result
mc2,__CFS_RF,precision,0.5076870629370629
mc2,__CFS_RF,recall,0.5885
mc2,__CFS_RF,pf,0.3641666666666667
mc2,__CFS_RF,bal,0.5554471922567934
mc2,__CFS_RF,gmean2,0.5591044004573942
mc2,__CFS_RF,auc,0.6582916666666666
jm1,__CFS_RF,precision,0.4348401017000469
jm1,__CFS_RF,recall,0.3518541488451668
jm1,__CFS_RF,pf,0.15310965630114567
jm1,__CFS_RF,bal,0.5180974534647353
jm1,__CFS_RF,gmean2,0.5161362425294325
jm1,__CFS_RF,auc,0.6027813548143367
kc3,__CFS_RF,precision,0.2452026862026862
kc3,__CFS_RF,recall,0.24
kc3,__CFS_RF,pf,0.15962500000000002
kc3,__CFS_RF,bal,0.43587729434921707
kc3,__CFS_RF,gmean2,0.3265935312009164
kc3,__CFS_RF,auc,0.6084079861111111
cm1,__CFS_RF,precision,0.14934199134199136
cm1,__CFS_RF,recall,0.1245
cm1,__CFS_RF,pf,0.0731896551724138
cm1,__CFS_RF,bal,0.3751177129241378
cm1,__CFS_RF,gmean2,0.20170553090683782
cm1,__CFS_RF,auc,0.5947084359605911
pc3,__CFS_RF,precision,0.20172191142833512
pc3,__CFS_RF,recall,0.6564285714285716
pc3,__CFS_RF,pf,0.3951377379619261
pc3,__CFS_RF,bal,0.5634940176000328
pc3,__CFS_RF,gmean2,0.5755543847682472
pc3,__CFS_RF,auc,0.6392658836124682
pc4,__CFS_RF,precision,0.20900681834505366
pc4,__CFS_RF,recall,0.12683006535947713
pc4,__CFS_RF,pf,0.065
pc4,__CFS_RF,bal,0.38049937907617093
pc4,__CFS_RF,gmean2,0.3185619097977404
pc4,__CFS_RF,auc,0.587862668504902
mw1,__CFS_RF,precision,0.2091666666666666
mw1,__CFS_RF,recall,0.16166666666666665
mw1,__CFS_RF,pf,0.038972332015810275
mw1,__CFS_RF,bal,0.40436008403320073
mw1,__CFS_RF,gmean2,0.22696304370634277
mw1,__CFS_RF,auc,0.646177536231884
pc1,__CFS_RF,precision,0.14120313146290825
pc1,__CFS_RF,recall,0.7704761904761905
pc1,__CFS_RF,pf,0.4894014423076923
pc1,__CFS_RF,bal,0.5332252051755365
pc1,__CFS_RF,gmean2,0.5359807560663279
pc1,__CFS_RF,auc,0.6671245707417583
pc5,__CFS_RF,precision,0.23123563995311197
pc5,__CFS_RF,recall,0.262420814479638
pc5,__CFS_RF,pf,0.04340731853629275
pc5,__CFS_RF,bal,0.4768963088878486
pc5,__CFS_RF,gmean2,0.49154220774445156
pc5,__CFS_RF,auc,0.8298797729141953
mc1,__CFS_RF,precision,0.10507978334874618
mc1,__CFS_RF,recall,0.1365
mc1,__CFS_RF,pf,0.035995770552471586
mc1,__CFS_RF,bal,0.3886053371547763
mc1,__CFS_RF,gmean2,0.25268882904775847
mc1,__CFS_RF,auc,0.6288250660851176
pc2,__CFS_RF,precision,0.03166666666666666
pc2,__CFS_RF,recall,0.04
pc2,__CFS_RF,pf,0.00822869101978691
pc2,__CFS_RF,bal,0.3205975118262221
pc2,__CFS_RF,gmean2,0.04769434173229445
pc2,__CFS_RF,auc,0.6408742389649924
