dataset,class_model,metrics,result
mc2,__C_NB,precision,0.5251825396825396
mc2,__C_NB,recall,0.6445000000000001
mc2,__C_NB,pf,0.3668055555555555
mc2,__C_NB,bal,0.6061529881723247
mc2,__C_NB,gmean2,0.6146258094886784
mc2,__C_NB,auc,0.6947361111111112
jm1,__C_NB,precision,0.3445432425232665
jm1,__C_NB,recall,0.5302748075278015
jm1,__C_NB,pf,0.3084288052373159
jm1,__C_NB,bal,0.5779777783920063
jm1,__C_NB,gmean2,0.5808297482765701
jm1,__C_NB,auc,0.6591119578705578
kc3,__C_NB,precision,0.380075702075702
kc3,__C_NB,recall,0.6416666666666667
kc3,__C_NB,pf,0.29229166666666667
kc3,__C_NB,bal,0.6435951010935955
kc3,__C_NB,gmean2,0.6554213780385432
kc3,__C_NB,auc,0.7638541666666667
cm1,__C_NB,precision,0.23390209230091785
cm1,__C_NB,recall,0.7204999999999999
cm1,__C_NB,pf,0.37467980295566505
cm1,__C_NB,bal,0.6222788110753242
cm1,__C_NB,gmean2,0.6384609226808382
cm1,__C_NB,auc,0.7395581896551724
pc3,__C_NB,precision,0.2685003452991055
pc3,__C_NB,recall,0.7976373626373626
pc3,__C_NB,pf,0.31689585666293396
pc3,__C_NB,bal,0.7194927069630108
pc3,__C_NB,gmean2,0.7328705381758246
pc3,__C_NB,auc,0.8013824341951441
pc4,__C_NB,precision,0.3023063565423722
pc4,__C_NB,recall,0.7609477124183007
pc4,__C_NB,pf,0.249453125
pc4,__C_NB,bal,0.7433436446422256
pc4,__C_NB,gmean2,0.7509348516953398
pc4,__C_NB,auc,0.8505088337418302
mw1,__C_NB,precision,0.19721547896547892
mw1,__C_NB,recall,0.5499999999999999
mw1,__C_NB,pf,0.2799802371541502
mw1,__C_NB,bal,0.6014210105801316
mw1,__C_NB,gmean2,0.5851284206067714
mw1,__C_NB,auc,0.716044137022398
pc1,__C_NB,precision,0.17556308124634973
pc1,__C_NB,recall,0.8488095238095239
pc1,__C_NB,pf,0.40035096153846156
pc1,__C_NB,bal,0.6736246854251238
pc1,__C_NB,gmean2,0.7035370968326246
pc1,__C_NB,auc,0.8037456788003662
pc5,__C_NB,precision,0.2797756237056043
pc5,__C_NB,recall,0.6517609351432881
pc5,__C_NB,pf,0.05371325734853029
pc5,__C_NB,bal,0.7496780993251394
pc5,__C_NB,gmean2,0.7820566926961842
pc5,__C_NB,auc,0.9397409680959735
mc1,__C_NB,precision,0.06529501088929904
mc1,__C_NB,recall,0.648
mc1,__C_NB,pf,0.243330161247687
mc1,__C_NB,bal,0.6740701916877014
mc1,__C_NB,gmean2,0.6835469741866218
mc1,__C_NB,auc,0.7859271015067406
pc2,__C_NB,precision,0.06791135571188991
pc2,__C_NB,recall,0.675
pc2,__C_NB,pf,0.23273782343987817
pc2,__C_NB,bal,0.6506562412017212
pc2,__C_NB,gmean2,0.6196290973859724
pc2,__C_NB,auc,0.8475399543378995
