dataset,class_model,metrics,result
mc2,__C_RF,precision,0.5073650793650794
mc2,__C_RF,recall,0.5940000000000001
mc2,__C_RF,pf,0.35888888888888887
mc2,__C_RF,bal,0.584212497917585
mc2,__C_RF,gmean2,0.5930706285806573
mc2,__C_RF,auc,0.66390625
jm1,__C_RF,precision,0.3185909762599219
jm1,__C_RF,recall,0.28150805531793555
jm1,__C_RF,pf,0.17955810147299509
jm1,__C_RF,bal,0.47105232022950305
jm1,__C_RF,gmean2,0.4660008667243109
jm1,__C_RF,auc,0.5928722949238302
kc3,__C_RF,precision,0.3336904761904762
kc3,__C_RF,recall,0.2625
kc3,__C_RF,pf,0.11595833333333332
kc3,__C_RF,bal,0.4654614125524698
kc3,__C_RF,gmean2,0.37297921942702617
kc3,__C_RF,auc,0.6803298611111112
cm1,__C_RF,precision,0.18446825396825392
cm1,__C_RF,recall,0.17099999999999999
cm1,__C_RF,pf,0.09485221674876847
cm1,__C_RF,bal,0.4072249214442722
cm1,__C_RF,gmean2,0.27545895180419855
cm1,__C_RF,auc,0.6609424261083744
pc3,__C_RF,precision,0.2577011483662984
pc3,__C_RF,recall,0.1860989010989011
pc3,__C_RF,pf,0.0781713325867861
pc3,__C_RF,bal,0.4205504956185745
pc3,__C_RF,gmean2,0.3675045284314956
pc3,__C_RF,auc,0.7226873207979031
pc4,__C_RF,precision,0.6285447724711386
pc4,__C_RF,recall,0.3167320261437909
pc4,__C_RF,pf,0.03140625
pc4,__C_RF,bal,0.5156012788501421
pc4,__C_RF,gmean2,0.5257600541862242
pc4,__C_RF,auc,0.8543972120098039
mw1,__C_RF,precision,0.22933333333333333
mw1,__C_RF,recall,0.17833333333333332
mw1,__C_RF,pf,0.056897233201581035
mw1,__C_RF,bal,0.41631579061392915
mw1,__C_RF,gmean2,0.25617661124258234
mw1,__C_RF,auc,0.678199934123847
pc1,__C_RF,precision,0.2504789091627327
pc1,__C_RF,recall,0.336904761904762
pc1,__C_RF,pf,0.10749759615384617
pc1,__C_RF,bal,0.5200307799227413
pc1,__C_RF,gmean2,0.4964321290702749
pc1,__C_RF,auc,0.7550725160256411
pc5,__C_RF,precision,0.3941728666147861
pc5,__C_RF,recall,0.341447963800905
pc5,__C_RF,pf,0.018446310737852425
pc5,__C_RF,bal,0.5340731072620203
pc5,__C_RF,gmean2,0.573547158620233
pc5,__C_RF,auc,0.8889622969071344
mc1,__C_RF,precision,0.09920634920634921
mc1,__C_RF,recall,0.05750000000000001
mc1,__C_RF,pf,0.014058154903515727
mc1,__C_RF,bal,0.33339033897057796
mc1,__C_RF,gmean2,0.11520319191579576
mc1,__C_RF,auc,0.6928555577583928
pc2,__C_RF,precision,0.03
pc2,__C_RF,recall,0.015
pc2,__C_RF,pf,0.002884322678843227
pc2,__C_RF,bal,0.30348179798522734
pc2,__C_RF,gmean2,0.021213203435596427
pc2,__C_RF,auc,0.6699914383561644
