dataset,class_model,metrics,result
mc2,S_C_RF,precision,0.20495054089986292
mc2,S_C_RF,recall,0.1655970400973924
mc2,S_C_RF,pf,0.21742735483909784
mc2,S_C_RF,bal,-0.0007168210916408402
mc2,S_C_RF,gmean2,0.03007664619460937
mc2,S_C_RF,auc,-0.06695076477356177
jm1,S_C_RF,precision,-0.0014255329376546555
jm1,S_C_RF,recall,0.06068258329670784
jm1,S_C_RF,pf,0.2323614337625384
jm1,S_C_RF,bal,-0.03467087578547812
jm1,S_C_RF,gmean2,-0.011045025254062701
jm1,S_C_RF,auc,-0.15504469454417413
kc3,S_C_RF,precision,0.03624022343954547
kc3,S_C_RF,recall,-0.13106962656927434
kc3,S_C_RF,pf,-0.011336534049791042
kc3,S_C_RF,bal,-0.06716250681260394
kc3,S_C_RF,gmean2,-0.09816411170544065
kc3,S_C_RF,auc,-0.07350111199578402
cm1,S_C_RF,precision,-0.03938651093718895
cm1,S_C_RF,recall,-0.050402959902607736
cm1,S_C_RF,pf,0.020907103060225363
cm1,S_C_RF,bal,-0.028134994351537213
cm1,S_C_RF,gmean2,-0.039181780059608984
cm1,S_C_RF,auc,-0.04883368417695533
pc3,S_C_RF,precision,-0.007242373890286619
pc3,S_C_RF,recall,-0.10764471814436594
pc3,S_C_RF,pf,-0.04784357958917146
pc3,S_C_RF,bal,-0.03812896699977697
pc3,S_C_RF,gmean2,-0.012113010093182774
pc3,S_C_RF,auc,0.009192678899382245
pc4,S_C_RF,precision,0.29687036461296934
pc4,S_C_RF,recall,-0.030775508922215533
pc4,S_C_RF,pf,-0.1606542423831244
pc4,S_C_RF,bal,0.02878575528052829
pc4,S_C_RF,gmean2,0.07409952192650693
pc4,S_C_RF,auc,0.16214107039800696
mw1,S_C_RF,precision,-0.07992364047431844
mw1,S_C_RF,recall,0.10559704009739224
mw1,S_C_RF,pf,0.13339683222161866
mw1,S_C_RF,bal,0.016056406247498378
mw1,S_C_RF,gmean2,0.02857065180534668
mw1,S_C_RF,auc,-0.08544663378981121
pc1,S_C_RF,precision,-0.009093000910026905
pc1,S_C_RF,recall,-0.0024981979978457858
pc1,S_C_RF,pf,-0.03968669430620125
pc1,S_C_RF,bal,0.02380263586049658
pc1,S_C_RF,gmean2,0.04856140687616317
pc1,S_C_RF,auc,0.017150120452323447
pc5,S_C_RF,precision,-0.11322337743574093
pc5,S_C_RF,recall,0.30732026785003175
pc5,S_C_RF,pf,-0.04526727290202065
pc5,S_C_RF,bal,0.2260015178987851
pc5,S_C_RF,gmean2,0.2562043852805186
pc5,S_C_RF,auc,0.16471344294861934
mc1,S_C_RF,precision,-0.1464502502500415
mc1,S_C_RF,recall,-0.1874029599026077
mc1,S_C_RF,pf,-0.14426790465513073
mc1,S_C_RF,bal,-0.08019865978944674
mc1,S_C_RF,gmean2,-0.1095633989376551
mc1,S_C_RF,auc,-0.0041559695272844754
pc2,S_C_RF,precision,-0.14131644211712008
pc2,S_C_RF,recall,-0.1294029599026077
pc2,S_C_RF,pf,-0.1550364959980407
pc2,S_C_RF,bal,-0.04563349045682463
pc2,S_C_RF,gmean2,-0.16744528603319353
pc2,S_C_RF,auc,0.08073554610923883
mc2,S_C_NB,precision,0.27595146468702136
mc2,S_C_NB,recall,-0.08459873367014958
mc2,S_C_NB,pf,0.033608727581420195
mc2,S_C_NB,bal,-0.04924730940853317
mc2,S_C_NB,gmean2,-0.05241928399359286
mc2,S_C_NB,auc,-0.08388964508741137
jm1,S_C_NB,precision,0.10001836668277131
jm1,S_C_NB,recall,-0.16026404590282717
jm1,S_C_NB,pf,-0.00305702982901801
jm1,S_C_NB,bal,-0.06376691958382075
jm1,S_C_NB,gmean2,-0.0749320880205786
jm1,S_C_NB,auc,-0.11405314825312429
kc3,S_C_NB,precision,0.07492218840774517
kc3,S_C_NB,recall,-0.03143206700348289
kc3,S_C_NB,pf,0.01371983869253135
kc3,S_C_NB,bal,-0.01270081676319279
kc3,S_C_NB,gmean2,-0.013215337551141904
kc3,S_C_NB,auc,-0.009537214531855742
cm1,S_C_NB,precision,-0.022659715225157973
cm1,S_C_NB,recall,0.07490126632985028
cm1,S_C_NB,pf,0.12828305708333598
cm1,S_C_NB,bal,-0.058049553155904876
cm1,S_C_NB,gmean2,-0.05070121761222257
cm1,S_C_NB,auc,-0.0317018201010949
pc3,S_C_NB,precision,-0.009981541707921676
pc3,S_C_NB,recall,-0.03991192048333636
pc3,S_C_NB,pf,-0.014223796992425652
pc3,S_C_NB,bal,0.005529615627190898
pc3,S_C_NB,gmean2,9.555110503722819e-05
pc3,S_C_NB,auc,-0.045421351766479656
pc4,S_C_NB,precision,0.05161614316803065
pc4,S_C_NB,recall,0.1059535539115497
pc4,S_C_NB,pf,-0.05041036964080192
pc4,S_C_NB,bal,0.10030387508695804
pc4,S_C_NB,gmean2,0.09976223368030357
pc4,S_C_NB,auc,0.08320923665278468
mw1,S_C_NB,precision,-0.05727673766618094
mw1,S_C_NB,recall,-0.09143206700348305
mw1,S_C_NB,pf,0.021584133817696083
mw1,S_C_NB,bal,-0.03998816347689804
mw1,S_C_NB,gmean2,-0.044717997457420555
mw1,S_C_NB,auc,-0.0477584005770908
pc1,S_C_NB,precision,-0.07472273772801269
pc1,S_C_NB,recall,0.1749965044250883
pc1,S_C_NB,pf,0.12278073612842888
pc1,S_C_NB,bal,-0.005279402341927475
pc1,S_C_NB,gmean2,0.01969181431946343
pc1,S_C_NB,auc,0.03245981881673987
pc5,S_C_NB,precision,0.032365749004261146
pc5,S_C_NB,recall,-0.03901502326290984
pc5,S_C_NB,pf,-0.28327156302712464
pc5,S_C_NB,bal,0.12506816273624466
pc5,S_C_NB,gmean2,0.1375864751129664
pc5,S_C_NB,auc,0.16806983172951784
mc1,S_C_NB,precision,-0.18694074981473946
mc1,S_C_NB,recall,0.04890126632985037
mc1,S_C_NB,pf,0.0292553924858171
mc1,S_C_NB,bal,0.01613892283329532
mc1,S_C_NB,gmean2,0.01943482103190941
mc1,S_C_NB,auc,0.016245833258698328
pc2,S_C_NB,precision,-0.18329242980781685
pc2,S_C_NB,recall,0.04190126632985036
pc2,S_C_NB,pf,0.0017308737001416885
pc2,S_C_NB,bal,-0.01800841155341193
pc2,S_C_NB,gmean2,-0.04058497061472455
pc2,S_C_NB,auc,0.03237685985931593
mc2,R_C_RF,precision,0.1967176459476221
mc2,R_C_RF,recall,0.34401948577820357
mc2,R_C_RF,pf,0.2772974994769964
mc2,R_C_RF,bal,0.10956578657087812
mc2,R_C_RF,gmean2,0.17511775156792148
mc2,R_C_RF,auc,-0.045717611091106614
jm1,R_C_RF,precision,0.0032221900933760983
jm1,R_C_RF,recall,0.036493822818408905
jm1,R_C_RF,pf,0.10866865786943136
jm1,R_C_RF,bal,0.016239445065648783
jm1,R_C_RF,gmean2,0.07728997593467463
jm1,R_C_RF,auc,-0.1202602157393814
kc3,R_C_RF,precision,0.0425022779822542
kc3,R_C_RF,recall,0.012352819111536906
kc3,R_C_RF,pf,0.027769721699218597
kc3,R_C_RF,bal,0.010053942570923513
kc3,R_C_RF,gmean2,0.009328903709008907
kc3,R_C_RF,auc,-0.04861344442443982
cm1,R_C_RF,precision,-0.048468140488164335
cm1,R_C_RF,recall,0.005019485778203603
cm1,R_C_RF,pf,0.012955682290351628
cm1,R_C_RF,bal,0.012518212063668988
cm1,R_C_RF,gmean2,-0.0037754661056903505
cm1,R_C_RF,auc,-0.034812113690997126
pc3,R_C_RF,precision,-0.035449245219346504
pc3,R_C_RF,recall,-0.0979310636723458
pc3,R_C_RF,pf,-0.033774791178720925
pc3,R_C_RF,bal,-0.05022473814721912
pc3,R_C_RF,gmean2,-0.03485250358123998
pc3,R_C_RF,auc,0.00881552339370073
pc4,R_C_RF,precision,0.3198759230861184
pc4,R_C_RF,recall,0.010898570745523806
pc4,R_C_RF,pf,-0.0878240283007814
pc4,R_C_RF,bal,0.030379563399746345
pc4,R_C_RF,gmean2,0.10245156986418641
pc4,R_C_RF,auc,0.14071866341869743
mw1,R_C_RF,precision,-0.061624706144730035
mw1,R_C_RF,recall,0.03651948577820363
