dataset,class_model,metrics,result
mc2,S_C_RF,precision,0.44762301587301584
mc2,S_C_RF,recall,0.6250000000000001
mc2,S_C_RF,pf,0.43472222222222223
mc2,S_C_RF,bal,0.5605174526966762
mc2,S_C_RF,gmean2,0.5681838080452494
mc2,S_C_RF,auc,0.6402465277777778
jm1,S_C_RF,precision,0.24124694203549826
jm1,S_C_RF,recall,0.5200855431993155
jm1,S_C_RF,pf,0.4496563011456628
jm1,S_C_RF,bal,0.5265633980028389
jm1,S_C_RF,gmean2,0.5270621365965773
jm1,S_C_RF,auc,0.5521525980071654
kc3,S_C_RF,precision,0.2789126984126984
kc3,S_C_RF,recall,0.32833333333333337
kc3,S_C_RF,pf,0.20595833333333338
kc3,S_C_RF,bal,0.49407176697571314
kc3,S_C_RF,gmean2,0.43994305014519935
kc3,S_C_RF,auc,0.6336961805555555
cm1,S_C_RF,precision,0.203285964035964
cm1,S_C_RF,recall,0.409
cm1,S_C_RF,pf,0.23820197044334976
cm1,S_C_RF,bal,0.5330992794367798
cm1,S_C_RF,gmean2,0.49892538179103096
cm1,S_C_RF,auc,0.6583636083743842
pc3,S_C_RF,precision,0.23543010108286627
pc3,S_C_RF,recall,0.3517582417582418
pc3,S_C_RF,pf,0.16945128779395296
pc3,S_C_RF,bal,0.5231053067885401
pc3,S_C_RF,gmean2,0.5259941517574572
pc3,S_C_RF,auc,0.7163899714507218
pc4,S_C_RF,precision,0.5395428395861223
pc4,S_C_RF,recall,0.4286274509803922
pc4,S_C_RF,pf,0.056640625
pc4,S_C_RF,bal,0.5900200290688453
pc4,S_C_RF,gmean2,0.6122066837771469
pc4,S_C_RF,auc,0.8693383629493465
mw1,S_C_RF,precision,0.16274883449883448
mw1,S_C_RF,recall,0.565
mw1,S_C_RF,pf,0.35069169960474306
mw1,S_C_RF,bal,0.5772906800358154
mw1,S_C_RF,gmean2,0.5666778136559867
mw1,S_C_RF,auc,0.6217506587615284
pc1,S_C_RF,precision,0.23357947406312596
pc1,S_C_RF,recall,0.4569047619047619
pc1,S_C_RF,pf,0.17760817307692314
pc1,S_C_RF,bal,0.5850369096488136
pc1,S_C_RF,gmean2,0.5866685687268032
pc1,S_C_RF,auc,0.724347413003663
pc5,S_C_RF,precision,0.129449097537412
pc5,S_C_RF,recall,0.7667232277526395
pc5,S_C_RF,pf,0.17202759448110377
pc5,S_C_RF,bal,0.7872357916871021
pc5,S_C_RF,gmean2,0.7943115471311586
pc5,S_C_RF,auc,0.8719107354999589
mc1,S_C_RF,precision,0.09622222472311145
mc1,S_C_RF,recall,0.272
mc1,S_C_RF,pf,0.07302696272799365
mc1,S_C_RF,bal,0.4810356139988703
mc1,S_C_RF,gmean2,0.4285437629129849
mc1,S_C_RF,auc,0.7030413230240551
pc2,S_C_RF,precision,0.10135603285603284
pc2,S_C_RF,recall,0.33
pc2,S_C_RF,pf,0.0622583713850837
pc2,S_C_RF,bal,0.5156007833314924
pc2,S_C_RF,gmean2,0.3706618758174465
pc2,S_C_RF,auc,0.7879328386605784
mc2,S_C_NB,precision,0.5116645021645021
mc2,S_C_NB,recall,0.6435000000000001
mc2,S_C_NB,pf,0.3772222222222221
mc2,S_C_NB,bal,0.5999771805727778
mc2,S_C_NB,gmean2,0.6121526358168912
mc2,S_C_NB,auc,0.6895868055555556
jm1,S_C_NB,precision,0.33573140416025204
jm1,S_C_NB,recall,0.5678346877673225
jm1,S_C_NB,pf,0.3405564648117839
jm1,S_C_NB,bal,0.5854575703974902
jm1,S_C_NB,gmean2,0.5896398317899054
jm1,S_C_NB,auc,0.6594233023898427
kc3,S_C_NB,precision,0.3106352258852259
kc3,S_C_NB,recall,0.6966666666666668
kc3,S_C_NB,pf,0.35733333333333334
kc3,S_C_NB,bal,0.6365236732181182
kc3,S_C_NB,gmean2,0.6513565822593421
kc3,S_C_NB,auc,0.7639392361111113
cm1,S_C_NB,precision,0.21305332225232274
cm1,S_C_NB,recall,0.8029999999999999
cm1,S_C_NB,pf,0.4718965517241379
